Name,Cuisine / Type,Google Rating,ImageURL
A2 Wine Bar,Wine Bar (Bar-only),5,https://s3-media3.fl.yelpcdn.com/bphoto/O9uLa0ii4tsK4KJyKtZZuQ/o.jpg
Eddie’s Sports Bar,Sports Bar (Bar-only),4.1,https://s3-media2.fl.yelpcdn.com/bphoto/ZayHhBj6vSbxjSk_a33nAw/o.jpg
Fogbird,Cocktail Bar (Bar-only),4.8,https://s3-media1.fl.yelpcdn.com/bphoto/o7SBhdniI7YCXqbZzSm6Dg/o.jpg
McGovern’s Bar,Irish Pub (Bar-only),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/6bYpbDhhQpnL5FuvAvQTeg/o.jpg
Mortar & Pestle,Cocktail Bar (Bar-only inside Curry Up Now),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/F2j9P67tmkCfilqnnTbz6Q/o.jpg
O’Neill’s Irish Pub,Irish Pub (Bar-only),4.4,https://s3-media4.fl.yelpcdn.com/bphoto/sWB97Q8vleHzM859X2Fh5g/o.jpg
Sky Lounge,Lounge (Bar-only),3.8,https://s3-media3.fl.yelpcdn.com/bphoto/zTIdJ2q8u1r_y7GU8gN2YA/o.jpg
Wunderbar,Speakeasy Cocktail Bar (Bar-only),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/hbFXlpKMoFGNpD9wga9Q3Q/o.jpg
Tiger Tea & Juice,Bubble Tea Shop (Boba),4.2,https://s3-media3.fl.yelpcdn.com/bphoto/giax4mIzmD4x_nmjaM6Gjw/o.jpg
Heeretea,Bubble Tea Shop (Boba),4,https://s3-media2.fl.yelpcdn.com/bphoto/s0eB-mpTYCbSwbHpyT7Qkw/o.jpg
Sharetea,Bubble Tea Shop (Boba),4.1,https://s3-media2.fl.yelpcdn.com/bphoto/9_oVOp0t4d4JNifbzl-ezA/o.jpg
Shuyi Grass Jelly & Tea,Bubble Tea Shop (Boba),4.5,https://s3-media1.fl.yelpcdn.com/bphoto/W0hxdvU9KwhnOsx51vs5fQ/o.jpg
Sweet Moment,Taiwanese Snack & Boba Cafe,4.7,https://s3-media4.fl.yelpcdn.com/bphoto/WbmbktaJqksdCe_NwiBRWA/o.jpg
Teaspoon,Bubble Tea Shop (Boba),4.4,https://s3-media1.fl.yelpcdn.com/bphoto/W7VD1cEsbLodRnN9wFzPSA/o.jpg
TP Tea,Bubble Tea Shop (Boba),4.4,https://s3-media4.fl.yelpcdn.com/bphoto/THB1g110vGHIs0q7eZMJ4g/o.jpg
Urban Ritual,Bubble Tea Cafe (Boba),4,https://s3-media4.fl.yelpcdn.com/bphoto/bg0GRjU4ZmfRoG5usf1U2w/o.jpg
Yi Fang Tea,Bubble Tea Shop (Boba),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/OJF-wAWiOue0xwFMKcNWgA/o.jpg
Boba Bless,Bubble Tea Shop (Boba),5,https://s3-media3.fl.yelpcdn.com/bphoto/nX6elBrKQt-iK4vIWi2i9Q/o.jpg
Avocado Toast,Breakfast & Brunch Café,4.4,https://s3-media2.fl.yelpcdn.com/bphoto/Clf2PzTPGvqZh2KQG8BdUA/o.jpg
Bay Watch Restaurant,Breakfast & Brunch Diner,4.3,https://s3-media4.fl.yelpcdn.com/bphoto/-2q8AgIGhBox00Hi2bAt9A/o.jpg
Fiero Caffe,"Breakfast, Brunch & Coffee",4.5,https://s3-media2.fl.yelpcdn.com/bphoto/N5S0tZCB7Z29Eji-kk0Yrg/o.jpg
Foreigner Café,Breakfast & Brunch (European-inspired),4.7,https://s3-media1.fl.yelpcdn.com/bphoto/Q28XblJ2YIleLkuyYSS9EQ/o.jpg
Noah’s NY Bagels,Bagel Shop (Breakfast & Brunch),4.2,https://s3-media1.fl.yelpcdn.com/bphoto/CEguaL79SCtNnWhOSFW2rg/o.jpg
Ike’s Place,Sandwiches & Burgers,4.6,https://s3-media3.fl.yelpcdn.com/bphoto/L0h4I3PUfnRD9Hjjp9QlLA/o.jpg
Jeffrey’s Hamburgers,Diner – Burgers & Sandwiches,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/i6aZSYbxjRg_tssY2g96_Q/o.jpg
3 Bees Coffee,Coffee Shop,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/OPoNMCmE17Eip21jdXU32Q/o.jpg
Backhaus,Bakery & Café (German),4.7,https://s3-media3.fl.yelpcdn.com/bphoto/zoFhjCqmbX1zaoT5ljur8w/o.jpg
Bliss on Tap (Baking Arts),Bakery & Coffee Shop,5,https://s3-media2.fl.yelpcdn.com/bphoto/7A4bvXBj-cm48FXdQD4EtA/o.jpg
Blue Bottle Coffee,Coffee Shop (Specialty),4.4,https://s3-media1.fl.yelpcdn.com/bphoto/8gTSPjJMWbR-_lJIZ-llNg/o.jpg
Donut Delite,Donuts & Coffee,4.4,https://s3-media1.fl.yelpcdn.com/bphoto/YyDQPdl4b3xYeWuYGRGuNw/o.jpg
Paris Baguette,Bakery & Café,4.4,https://s3-media1.fl.yelpcdn.com/bphoto/YYi309qOM0fxCqSlD57CUQ/o.jpg
Peet’s Coffee,Coffee Shop (Specialty),4.3,https://s3-media4.fl.yelpcdn.com/bphoto/RFp-U47Hbe_lKJtSQ2dnGw/o.jpg
Philz Coffee,Coffee Shop (Specialty),4.3,https://s3-media2.fl.yelpcdn.com/bphoto/eeBLRJU6lcLSQNVfwg1Gmw/o.jpg
Starbucks,Coffee Shop (Chain),3.8,https://s3-media3.fl.yelpcdn.com/bphoto/dBbqNaZQYDX-LNecyKAlDg/o.jpg
Tianfu Restaurant,Chinese – Sichuan,4.1,https://s3-media2.fl.yelpcdn.com/bphoto/pMruVAXy2W9kfLi3Q-LgJQ/o.jpg
Dough Zone Dumpling House,Chinese – Dumplings & Noodles,4.1,https://s3-media4.fl.yelpcdn.com/bphoto/AuCZZ3JQMul1ZOqM_E6asw/o.jpg
Happy Lamb Hot Pot,Chinese – Hot Pot,4.3,https://s3-media1.fl.yelpcdn.com/bphoto/PFPAjPm6ndyHmG66cwmGOA/o.jpg
Liuyishou Hot Pot,Chinese – Hot Pot,4,https://s3-media4.fl.yelpcdn.com/bphoto/MlICoftZnHWnYN-LwOUPrQ/o.jpg
Ox 9 Lanzhou Noodles,Chinese – Lanzhou Hand-Pulled Noodles,4,https://s3-media3.fl.yelpcdn.com/bphoto/YtbOXA6b0RK7Yz2pJBE1qg/o.jpg
Superstar Seafood Dim Sum,Chinese – Cantonese (Dim Sum),4,https://s3-media2.fl.yelpcdn.com/bphoto/aXOHMoq-eaSkSVAF69ePwg/o.jpg
Taste of Shao Xian,Chinese – Fujianese Snacks,4.2,https://s3-media2.fl.yelpcdn.com/bphoto/tzrRGF3NMsGhiQ_RTaRvqA/o.jpg
Zhangliang Malatang,Chinese – Mala Soup,4.2,https://s3-media1.fl.yelpcdn.com/bphoto/9RKmLeZnUVSrQdL4up8MaA/o.jpg
Ten Seconds Yunnan,Chinese – Yunnan Rice Noodles,4,https://s3-media1.fl.yelpcdn.com/bphoto/BfriNnFkp-Z6h03PYy7B-Q/o.jpg
Fish with You,Chinese – Sichuan (Malatang bowls),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/ebAPZCVRPq1CejlnP7-r5g/o.jpg
Malatown,Chinese – Sichuan (Malatang bowls),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/1FujtIG8cwkpwo3t8-wIOg/o.jpg
Tang Bar,Chinese – Modern Malatang & Bar,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/YASEydPAaB_oDwBfddY7RA/o.jpg
Central Park Bistro,Contemporary American,4.4,https://s3-media3.fl.yelpcdn.com/bphoto/fi_T3FhRSdRaTGJa6li5mw/o.jpg
Pacific Catch,Contemporary American (Seafood),4.3,https://s3-media4.fl.yelpcdn.com/bphoto/CsmL28_C7rfFwBh3M5pVZw/o.jpg
Swing Shift,Contemporary American (Cal-American),4,https://s3-media2.fl.yelpcdn.com/bphoto/1XJKOSt4a01dSgRQro6Kfg/o.jpg
The Barrel Bistro & Wine Bar,Contemporary American (Wine Bistro),4.4,https://s3-media2.fl.yelpcdn.com/bphoto/oB1DL1-xH1o0zy9C1sK5YA/o.jpg
Wursthall,Contemporary American (German Beer Hall),4.4,https://s3-media3.fl.yelpcdn.com/bphoto/kiJX7qs6VAbHA-hgL0zSSw/o.jpg
Antoine’s Cookie Shop,Dessert – Cookies,4.7,https://s3-media2.fl.yelpcdn.com/bphoto/JCLIHdPAaCsLLIBzLMGBlA/o.jpg
Baskin-Robbins,Dessert – Ice Cream Parlor (Chain),4,https://s3-media4.fl.yelpcdn.com/bphoto/eQjH8APyCl3_XZszabe-UA/o.jpg
Cold Stone Creamery,Dessert – Ice Cream (Custom),3.9,https://s3-media2.fl.yelpcdn.com/bphoto/xymXhgAtRjpUOaeToA9h_A/o.jpg
Icicles,Dessert – Rolled Ice Cream,4.7,https://s3-media1.fl.yelpcdn.com/bphoto/bOPWzpfmhl4qzpaePVMNkQ/o.jpg
LuluYum,Dessert – Frozen Yogurt & Snacks,4.4,https://s3-media3.fl.yelpcdn.com/bphoto/pMksSQviurrWVkHofAjzrg/o.jpg
Meet Fresh,Dessert – Taiwanese Sweets,4.4,https://s3-media3.fl.yelpcdn.com/bphoto/Ge9rMI2hyNHrOWXmx1SY0g/o.jpg
Simply Cake,Dessert – Bakery (Cakes),5,https://s3-media1.fl.yelpcdn.com/bphoto/hWKP2th2iSJaygELL3UtPA/o.jpg
Snacks Antojitos Mexicanos,Dessert – Mexican Snacks & Sweets,4.3,https://s3-media4.fl.yelpcdn.com/bphoto/UCruO7qJ2HINqADn8mwk9w/o.jpg
SomiSomi,Dessert – Korean Soft Serve & Taiyaki,4.7,https://s3-media2.fl.yelpcdn.com/bphoto/PlSoRO7iGrX1P1hIwi2hqw/o.jpg
Tong Sui,Dessert – Hong Kong Desserts,4.7,https://s3-media2.fl.yelpcdn.com/bphoto/LylnqA1Yi8Sxzs7q2-BUYw/o.jpg
TinyB Chocolate,Dessert – Chocolate Shop,5,https://s3-media2.fl.yelpcdn.com/bphoto/uLW_qpFxFg4wQPxIzswzlw/o.jpg
Fire Wings,Fast Food – Chicken Wings,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/SI6zKHUimV4s3PPtL54kAA/o.jpg
Jack in the Box,Fast Food – Burgers (Chain),3.8,https://s3-media2.fl.yelpcdn.com/bphoto/UR6jXVojmd8dXiRTpaJlJA/o.jpg
Potato Guys,Fast Food – Fries & Snacks,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/lDGF_UqcpeWQ1mYiqdtm1w/o.jpg
Taco Bell,Fast Food – Tacos (Chain),3.9,https://s3-media2.fl.yelpcdn.com/bphoto/rDvH1l3vJCU0LBxSZo67ug/o.jpg
Macho Burger,Fast Food – Burgers,4,https://s3-media1.fl.yelpcdn.com/bphoto/WsiYrxJmNsVl1U2BGWDP6w/o.jpg
Deja Vu Organic Juice Bar,Healthy Fare – Juice Bar,5,https://s3-media2.fl.yelpcdn.com/bphoto/yD7bSDcZj45phbEc2aacww/o.jpg
Earthbar,Healthy Fare – Smoothies & Acai,4.4,https://s3-media1.fl.yelpcdn.com/bphoto/igqxiiAZS0MMtowHtCdeaw/o.jpg
Jamba,Healthy Fare – Smoothies (Chain),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/twNL6q1RrCULI_uEDMgPlQ/o.jpg
Nutricion SR,Healthy Fare – Smoothie & Health Drinks,4.7,https://s3-media2.fl.yelpcdn.com/bphoto/ZD1QNJjDtrxtBpm_obIoYA/o.jpg
Sweetgreen,Healthy Fare – Salads & Grain Bowls,4.3,https://s3-media4.fl.yelpcdn.com/bphoto/jqkM1FIwGN1NQSPyh6eiHA/o.jpg
Clay Oven,Indian,4.3,https://s3-media2.fl.yelpcdn.com/bphoto/VK-T41zAt_JFgs_lFgUNPg/o.jpg
Curry Up Now,Indian Fusion (Fast-casual),4.2,https://s3-media1.fl.yelpcdn.com/bphoto/llFm0kM0dmhSdj-BmiLH1g/o.jpg
Pausa Bar & Cookery,Italian (Upscale),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/3oPtBAuYI83WIEonRDvcRA/o.jpg
Rise Woodfire,Italian (Wood-fired Pizza & Grill),4.4,https://s3-media1.fl.yelpcdn.com/bphoto/ycRYV2REjYCJPQ6msDXHYQ/o.jpg
Sapore Express,Italian (Quick-service),4,https://s3-media2.fl.yelpcdn.com/bphoto/HvtotllTpj1uB7QkAgeDIg/o.jpg
Tomatina,Italian (Casual),4.3,https://s3-media4.fl.yelpcdn.com/bphoto/DSdObK1nunY8JA7_8h_Eaw/o.jpg
Vespucci Ristorante,Italian (Fine Dining),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/VWhMwcejMpFdSj-RZbz6HA/o.jpg
DASH Japanese Tapas,Japanese (Izakaya & Sushi),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/IBYtNIUGX1gJqnpePXebmg/o.jpg
Gyu-Kaku Japanese BBQ,Japanese (Yakiniku),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/GDaGuGZrwdvbav7TU6QdGQ/o.jpg
Himawari,Japanese (Ramen & Izakaya),4.4,https://s3-media2.fl.yelpcdn.com/bphoto/7KxJT6Ocamq3zE0KvafyMA/o.jpg
HiroNori Craft Ramen,Japanese (Ramen),4.5,https://s3-media1.fl.yelpcdn.com/bphoto/5KKhsOzaKQclX1zq1VK6FA/o.jpg
Hotaru,Japanese (Sushi),4.4,https://s3-media2.fl.yelpcdn.com/bphoto/MDz44lJ5FEwJnsDyJAK7ig/o.jpg
Izakaya Ginji,Japanese (Izakaya),4.4,https://s3-media3.fl.yelpcdn.com/bphoto/St5opDAWCio7_yvoZ81JHQ/o.jpg
Izakaya Mai,Japanese (Izakaya),4.2,https://s3-media2.fl.yelpcdn.com/bphoto/UJoS5Dm_8r9D8O4bPZh9Zw/o.jpg
Joy Sushi,Japanese (Sushi),4,https://s3-media4.fl.yelpcdn.com/bphoto/a4ZPbjx7J3GvfHyUq_dbQw/o.jpg
Kajiken,Japanese (Ramen – Mazesoba),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/AXlIjfgJWqI00Zhg2sbTQA/o.jpg
Kaz Teriyaki Grill,Japanese (Teriyaki & Bowl),4,https://s3-media1.fl.yelpcdn.com/bphoto/z5D2uTVjJ0GWyDIp1G6N_Q/o.jpg
Shabuway,Japanese (Hot Pot),4.1,https://s3-media3.fl.yelpcdn.com/bphoto/CAfHywgWXBf-9Imjk8nfzw/o.jpg
Sozai Corner,Japanese (Sushi Bar inside market),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/nzYRlaILV9tkeY5tJtFWRw/o.jpg
Sushi Maruyama,Japanese (Sushi),4.8,https://s3-media2.fl.yelpcdn.com/bphoto/oc-U7SuXR4leIi6OVCDzvw/o.jpg
Sushi Yoshizumi,Japanese (Omakase Sushi),5,https://s3-media2.fl.yelpcdn.com/bphoto/7RM9K74ZOZ2zSP0IhtQ26g/o.jpg
Taishoken,Japanese (Ramen & Tsukemen),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/Uq3vg4BXnAKzozp7oNX4dQ/o.jpg
Taki Nori Handroll Bar,Japanese (Sushi Handrolls),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/JVpsMnghHr141BK6Hh2TrQ/o.jpg
Tokie’s,Japanese (Sushi),4,https://s3-media3.fl.yelpcdn.com/bphoto/eVw0GKNekWwLMSFSMYedkw/o.jpg
Ultra Sushi,Japanese (Sushi),4.1,https://s3-media4.fl.yelpcdn.com/bphoto/nTLrPONyefQYx0lXUlIzlQ/o.jpg
Bonchon,Korean (Fried Chicken),4.3,https://s3-media2.fl.yelpcdn.com/bphoto/rm_sd1LoKXIKkYObeAIJPw/o.jpg
Chingu,Korean (Homestyle),4,https://s3-media3.fl.yelpcdn.com/bphoto/WIOuWi916HiQ1vVjkUnopg/o.jpg
Daeho,Korean (Braised Beef specialty),4.2,https://s3-media2.fl.yelpcdn.com/bphoto/PHhaN-NpvqOApXAamVRDbg/o.jpg
OLHSO Korean BBQ & Seafood,Korean (Korean BBQ & Steakhouse),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/3alemae_LEUCqz7hPda-_Q/o.jpg
La Pinata,Latin American (Salvadoran Pupusas),4.5,https://s3-media1.fl.yelpcdn.com/bphoto/C9_8poJFgwDoTd1zDSHxRg/o.jpg
Pupusería El Salvador,Latin American (Salvadoran),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/aIjmhIzIg6nfMVP_OMCJVA/o.jpg
Amour Amour,Mediterranean (Wine Bar & Tapas),4.7,https://s3-media4.fl.yelpcdn.com/bphoto/vNv928JxHgTqIJsOjYbgzA/o.jpg
B Street & Vine,Mediterranean (Wine Café – Bruschetta),4.4,https://s3-media1.fl.yelpcdn.com/bphoto/2tLt9KRKOQ4FBTp56V7I0Q/o.jpg
Hummus Mediterranean,Mediterranean (Middle Eastern),4.5,https://s3-media3.fl.yelpcdn.com/bphoto/EW0SOHvmmnDJFOKISGb1LA/o.jpg
Nick the Greek,Mediterranean (Greek Gyros),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/Epk_JegAUu8R_jJe6ONj3A/o.jpg
Sajj Mediterranean,Mediterranean (Middle Eastern),4.2,https://s3-media4.fl.yelpcdn.com/bphoto/VmnFX6Im4_9V0rdiG9y8FA/o.jpg
Fletch’s Taqueria,Mexican (Tacos & Burritos),4.6,https://s3-media0.fl.yelpcdn.com/bphoto/7wWH85y0bO3juiscP5XL9g/o.jpg
Las Palomas Taqueria,Mexican (Taqueria),4.4,https://s3-media4.fl.yelpcdn.com/bphoto/aWf1W9gsbx3LdPGUXeflPA/o.jpg
Mr. Taco Man,Mexican (Taqueria),4.1,https://s3-media1.fl.yelpcdn.com/bphoto/Y759LBv2_IZWKtdTpD6H1w/o.jpg
Pancho Villa Taqueria,Mexican (Taqueria),4.4,https://s3-media4.fl.yelpcdn.com/bphoto/-FcfAOpJ7T4OrUunqD0nJw/o.jpg
Taquería La Cumbre,Mexican (Taqueria),4.3,https://s3-media4.fl.yelpcdn.com/bphoto/fOYkF8A-4fVjFduAbPHW_w/o.jpg
Taquería Las Pencas 2,Mexican (Taqueria),4,https://s3-media3.fl.yelpcdn.com/bphoto/PktnbXjj_nB-EAKsGgLe2Q/o.jpg
Taquería Los Primos,Mexican (Taqueria),4.2,https://s3-media4.fl.yelpcdn.com/bphoto/WTTUprKXnAfgZ1FMTS4NNQ/o.jpg
Avenida,Filipino (Modern Filipino Bar & Grill),4.6,https://s3-media4.fl.yelpcdn.com/bphoto/ncJkxfKaF5IMGfv5kGgInQ/o.jpg
Chopstix & Bento,Taiwanese (Taiwanese Café),4,https://s3-media3.fl.yelpcdn.com/bphoto/8SNhi0WFkAcwwK_D0kVfgg/o.jpg
Izakaya Keitan,Japanese (Fusion Yakitori Grill),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/z-ylgtxJO1-3VH2VZbdIQw/o.jpg
L&L Hawaiian Barbecue,Hawaiian BBQ (Plate Lunch),4.1,https://s3-media2.fl.yelpcdn.com/bphoto/EjHCtnVf7calyksHPa3hBg/o.jpg
Rin-Tei,Asian Fusion (Japanese & Thai),4.2,https://s3-media3.fl.yelpcdn.com/bphoto/GgGrNCOOSQ44KF2X8TeT6Q/o.jpg
Samikcha MoMo,Nepalese/Indian (Indo-Chinese Fusion),4.5,https://s3-media3.fl.yelpcdn.com/bphoto/-Qy98AUp_8NZbb-u4qm2cg/o.jpg
Urban Momo,Nepalese/Indian (Indo-Chinese Fusion),4.4,https://s3-media2.fl.yelpcdn.com/bphoto/Ri0Af_u7B7ql3aiOzudmPQ/o.jpg
Sushirrito,Fusion (Sushi Burrito),4,https://s3-media3.fl.yelpcdn.com/bphoto/tqrobosyz8YUjYv3QJKfwg/o.jpg
Amici’s East Coast Pizzeria,Pizza (NY-Style),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/rnodsbgj3eV1TgAhmQYEzg/o.jpg
Domino’s Pizza,Pizza (Delivery Chain),3.7,https://s3-media4.fl.yelpcdn.com/bphoto/jBCAZQb_Y-KiZAsthZmV8g/o.jpg
Mountain Mike’s Pizza,Pizza (Delivery Chain),4.2,https://s3-media3.fl.yelpcdn.com/bphoto/PGNOHZx93_yvEOZtVusSfg/o.jpg
Mr. Pizza Man,Pizza (Delivery/Takeout),4,https://s3-media3.fl.yelpcdn.com/bphoto/aM5b2dLkcUwcz3ERcSWa_Q/o.jpg
New York Pizza,Pizza (NY-Style),4,https://s3-media2.fl.yelpcdn.com/bphoto/1qRiT0jgXkXPhMf0-dFitg/o.jpg
North Beach Pizza,Pizza (Italian-American),4,https://s3-media3.fl.yelpcdn.com/bphoto/tSWwGZ7W_4JRGybU69fCDQ/o.jpg
Pizza My Heart,Pizza (Slice Shop),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/PTtbTtvERQKGPitOTfLG8Q/o.jpg
Curry Pizza House,Pizza (Indian Fusion),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/YwmowYnwxdn6GBy4STdU9Q/o.jpg
Porterhouse,Steakhouse,4.4,https://s3-media2.fl.yelpcdn.com/bphoto/Z1hEYs6t_BHLFkUWqxV0nQ/o.jpg
San Mateo Prime,Steakhouse,4.3,https://s3-media3.fl.yelpcdn.com/bphoto/uGiSZBjEl2D8qTFMFWfVQw/o.jpg
New Thai Elephant,Thai,4.3,https://s3-media1.fl.yelpcdn.com/bphoto/AWTBY_VZw2niNpQSk5PkdA/o.jpg
Thonglor Thai Bistro,Thai,4.1,https://s3-media2.fl.yelpcdn.com/bphoto/ymqb_DjRx8IpfGXh1IBSvQ/o.jpg
Gao Viet Kitchen,Vietnamese (Pho & more),4.4,https://s3-media2.fl.yelpcdn.com/bphoto/xTyZeBDeNf0giRo2Ou73xw/o.jpg
M Sandwiches Café,Vietnamese (Banh Mi & Sandwiches),4.5,https://s3-media3.fl.yelpcdn.com/bphoto/KCTPxDb_fS81GHu_6_5sKg/o.jpg